"clade","gene_tree","num_clade_tips","clade_relationship","clade_length","branch_length_to_clade","max_branching_time_for_ultrametric_clade","outgroup"
"Ctenophora",68,"15","monophyletic","2.1265085583","0.5354049822","0.4595828321","Drosophila_melanogaster"
"Ctenophora",69,"1","1_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",70,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",71,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",72,"15","monophyletic","3.4189872628","0.8865095574","0.7638067306","Drosophila_melanogaster"
"Ctenophora",73,"9","monophyletic","0.7163058736","0.4190222218","0.2077057705","Drosophila_melanogaster"
"Ctenophora",74,"22","monophyletic","1.5765191987","0.6209835718","0.4635321698","Drosophila_melanogaster"
"Ctenophora",75,"6","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",76,"9","monophyletic","1.7920565155","0.211602966","1.3169521629","Drosophila_melanogaster"
"Ctenophora",77,"1","1_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",78,"17","monophyletic","1.7326922488","0.3284567698","1.0958543994","Drosophila_melanogaster"
"Ctenophora",79,"14","monophyletic","1.5654926135","1.2450156803","0.3778895301","Drosophila_melanogaster"
"Ctenophora",80,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",81,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",82,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",83,"7","monophyletic","0.5435685527","0.5583160415","0.1703883316","Drosophila_melanogaster"
"Ctenophora",84,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",85,"2","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",86,"1","1_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",87,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",88,"1","1_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",89,"5","monophyletic","0.0100018552","0.1687133684","0.0064482449","Drosophila_melanogaster"
"Ctenophora",90,"9","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",91,"15","monophyletic","1.6313817046","0.6096497088","0.5677780941","Drosophila_melanogaster"
"Ctenophora",92,"9","monophyletic","0.9125617532","0.3085526338","0.3744366723","Drosophila_melanogaster"
"Ctenophora",93,"15","monophyletic","1.6667069379","0.7001379527","0.4970658758","Drosophila_melanogaster"
"Ctenophora",94,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",95,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",96,"14","monophyletic","5.7676987281","0.0758424257","4.8019611099","Drosophila_melanogaster"
"Ctenophora",97,"1","1_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",98,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",99,"1","1_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",100,"15","monophyletic","4.7003038727","0.5626795406","0.9500904485","Drosophila_melanogaster"
"Ctenophora",101,"13","monophyletic","4.7901275779","0.3650310538","2.9827004176","Drosophila_melanogaster"
"Ctenophora",102,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",103,"3","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",104,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",105,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",106,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",107,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",108,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",109,"8","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",110,"19","monophyletic","1.1900391804","0.3914533222","0.2896106186","Drosophila_melanogaster"
"Ctenophora",111,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",112,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",113,"11","monophyletic","0.9864502722","0.9897829876","0.4195017329","Drosophila_melanogaster"
"Ctenophora",114,"4","monophyletic","6.5815272906","0.8603135674","3.3455539359","Drosophila_melanogaster"
"Ctenophora",115,"13","monophyletic","2.763431801","0.6535740912","0.8474198554","Drosophila_melanogaster"
"Ctenophora",116,"14","monophyletic","1.8451880311","0.674790923","0.4747477757","Drosophila_melanogaster"
"Ctenophora",117,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",1,"18","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",2,"14","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",3,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",4,"10","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",5,"12","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",6,"13","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",7,"17","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",8,"13","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",9,"15","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",10,"18","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",11,"15","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",12,"15","monophyletic","3.3664368992","0.037221397","0.5834184134","Drosophila_melanogaster"
"Porifera",13,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",14,"15","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",15,"8","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",16,"8","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",17,"19","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",18,"13","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",19,"17","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",20,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",21,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",22,"13","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",23,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",24,"18","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",25,"12","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",26,"17","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",27,"15","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",28,"15","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",29,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",30,"18","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",31,"19","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",32,"9","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",33,"18","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",34,"14","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",35,"18","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",36,"19","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",37,"18","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",38,"17","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",39,"15","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",40,"12","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",41,"18","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",42,"14","monophyletic","8.3853139596","0.0846497461","3.4126063327","Drosophila_melanogaster"
"Porifera",43,"16","monophyletic","4.7502354378","0.0586007002","1.091873989","Drosophila_melanogaster"
"Porifera",44,"11","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
