"row_description","tree","tree_root","gene","num_missing_taxa","tree_length","Abylopsis_tetragona","Acanthoeca_sp","Acropora_digitifera","Agalma_elegans","Aiptasia_pallida","Amphimedon_queenslandica","Aphrocallistes_vastus","Beroe_abyssicola","Beroe_forskalii","Beroe_ovata","Beroe_sp_Antarctica","Beroe_sp_Queensland_Australia","Bolinopsis_ashleyi","Bolinopsis_infundibulum","Bolocera_tuediae","Callianira_Antarctica","Capitella_teleta","Cestum_veneris","Chondrilla_nucula","Cliona_varians","Coeloplana_astericola","Corticium_candelabrum","Craseo_lathetica","Crella_elegans","Ctenophora_sp_Florida_USA","Cydippida_sp","Cydippida_sp_Maryland_USA","Daphnia_pulex","Drosophila_melanogaster","Dryodora_glandiformis","Eunicella_verrucosa","Euplokamis_dunlapae","Eurhamphaea_vexilligera","Hemithris_psittacea","Homo_sapiens","Hormathia_digitata","Hormiphora_californica","Hormiphora_palmata","Hyalonema_populiferum","Hydra_oligactis","Hydra_viridissima","Hydra_vulgaris","Ircinia_fasciculata","Kirkpatrickia_variolosa","Latrunculia_apicalis","Lobata_sp_Punta_Arenas_Argentina","Lobatolampea_tetragona","Mertensiidae_sp_Antarctica","Mertensiidae_sp_Washington_USA","Mnemiopsis_leidyi","Monosiga_brevicolis","Monosiga_ovata","Mycale_phylophylla","Nanomia_bijuga","Nematostella_vectensis","Ocyropsis_crystallina","Ocyropsis_sp_Bimini_Bahamas","Ocyropsis_sp_Florida_USA","Oscarella_carmela","Periphyla_periphyla","Petrosia_ficiformis","Physalia_physalia","Pleurobrachia_bachei","Pleurobrachia_pileus","Pleurobrachia_sp_South_Carolina_USA","Pseudospongosorites_suberitoides","Rossella_fibulata","Salpingoeca_pyxidium","Salpingoeca_rosetta","Spongilla_lacustris","Strongylocentrotus_purpatus","Sycon_ciliatum","Sycon_coactum","Sympagella_nux","Vallicula_sp"
"root_to_tip_distance","gene_tree_011","Drosophila_melanogaster","11","34","15.5158157183","0.8957518355","1.1747814757","0.6160892434","0.8283527391","0.6696446093","0.9302317775","0.9866509835",NA,NA,NA,NA,NA,"0.9427481879",NA,"0.6680573703",NA,"0.8585910275",NA,NA,"0.6957397164",NA,"0.7499221157","0.7721434768",NA,NA,NA,NA,"0.5123848621","0.6992622943",NA,"0.6210220563",NA,NA,"0.6652069831","0.8638569156","0.7207620093",NA,NA,NA,"0.8238067755","0.7661778165","0.8086004011",NA,"0.8345919878","0.8606690993",NA,NA,NA,NA,NA,"1.2948427077",NA,"0.8452632651","0.8260041615","0.5005723698",NA,NA,NA,"0.6871714469","0.5913650644","0.8922234765","0.8391791803",NA,NA,NA,"0.8116110949","1.0381985633","1.2251016353","1.0336838865","0.7932306794","0.7035888022","0.9560878278","0.889724365","1.0856486418",NA
"root_to_tip_distance","gene_tree_012","Drosophila_melanogaster","12","28","12.8005504141",NA,"2.8071847175","0.2788587672","0.3889440599","0.3597694439","0.745131924","0.7482741002",NA,NA,NA,NA,NA,NA,NA,"0.3540882945","0.7308264489","0.2001649652",NA,NA,"0.6167228373",NA,"0.6889966229","0.4145442066",NA,NA,"0.7350627077","0.7409690459","0.164031452","0.2822905097","0.7282337578","0.3372461374","0.7011380918",NA,"0.2180459989","0.2106164819",NA,"0.8451360161",NA,"0.8096717688",NA,NA,"0.4053873515",NA,"0.6502352993","0.6643060218",NA,NA,"0.7275906012","0.7265102532",NA,"3.0174070757",NA,"0.6307963178","0.339494885","0.3364377599","0.7211301453","0.7517461646","0.7331404196","0.6130243901","0.339424257","0.697888112",NA,NA,"0.8317883138",NA,NA,"0.769298362",NA,"2.7104083752","0.6447085836","0.277473325","0.7476938772","0.7417195588","0.7522272331","0.8581347678"
"root_to_tip_distance","gene_tree_013","Drosophila_melanogaster","13","32","26.7353637853","0.9901328091","1.5580810472","0.5494361507","0.8504618682","0.5643833447","0.7676572662","1.4081055445",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6560438647",NA,"0.5462599604","0.501118398",NA,"0.6880665191","7.0214793731",NA,NA,NA,NA,"0.4998336572","0.4622630124",NA,"0.7328716247","1.2058812466",NA,"1.0029038677","0.6792536325","0.5298231567","1.1237495276","1.0706819113","0.7178648342",NA,NA,"0.8534908765","0.6786566003","0.6947628351","0.7114649153",NA,NA,NA,NA,NA,"1.1614155946","4.58195241","0.6470429534","0.8254070923","0.5109140716",NA,NA,NA,"0.6684287479",NA,"0.675979074","0.8055401125","1.071293469","1.0118386281",NA,NA,"1.5215862747","0.8246483361","0.9212886021",NA,"0.6774408984","0.741889761","0.7546089398","1.628858895",NA
"root_to_tip_distance","gene_tree_014","Drosophila_melanogaster","14","35","11.4197412261","0.7267803527","1.1222268239",NA,"0.7535143412","0.600892917","0.8953829425","0.9591525391",NA,NA,NA,NA,NA,NA,NA,"0.6496458207",NA,"0.2878363358",NA,"0.7037920642","0.6041283824",NA,"0.6567521835","0.696838271",NA,NA,NA,NA,"0.3673872634","0.2866778578",NA,"0.6153476519",NA,NA,"0.3467077666","0.6576404307","0.6491886406",NA,NA,"1.0757107464","0.6594564476","0.7277902655","0.6496649137",NA,"0.7077885122","0.674423117",NA,NA,NA,NA,NA,"1.0677030333","1.0218515862","0.6561893909","0.7855487485","0.5899903314",NA,NA,NA,"0.6247473131","0.8448991739",NA,"0.6958355799",NA,NA,NA,NA,"0.9687824159","1.1155972054","0.940694961","0.7282184692","0.4410941341","0.7879070199","0.8326333753","0.9377309815",NA
"root_to_tip_distance","gene_tree_015","Drosophila_melanogaster","15","29","22.3646600503","0.9720003576","1.100486224","0.5885108113","0.8520570194",NA,"0.7642434386","1.0978872885","1.173458175","1.2008961409","1.2341952463",NA,"1.2274908287",NA,"1.0790065449",NA,NA,"0.4458981579",NA,"0.6502389832","0.6904912831","0.9230205726",NA,"0.9218046838",NA,NA,"2.3516414268","0.9135813005","0.3694994415","0.3464524809",NA,"0.6234178322","0.9671770963","1.0111652993","0.4235960978","0.4984157788",NA,NA,NA,NA,NA,"2.1315822643","0.9785762388",NA,NA,NA,NA,"4.2129394261",NA,"0.9508014871","1.0912917569","1.2559215091","1.1412040811",NA,"0.9225313411","0.5379783623","1.0431937615","1.0522220838","1.3078515665","0.650884721",NA,"0.6957006445","0.8226504395",NA,NA,NA,"0.617407393",NA,"2.9738939282","1.1881389787","0.8029489231","0.5176027862",NA,NA,NA,"0.8179852724"
"root_to_tip_distance","gene_tree_016","Drosophila_melanogaster","16","26","15.3411180698","0.8952678867","0.7808603042","0.6729161635","0.7576438581","0.720899524",NA,"2.1140492028","1.0693070024","1.1218774996",NA,NA,NA,"1.0263512224",NA,NA,NA,"0.4057852133","1.0564779523",NA,NA,"1.0443557243","0.6160715312","0.8087922394",NA,NA,NA,"0.9794983724","0.2305699764","0.2333845735","1.1254627685","0.7378315924","1.315753311","1.0796863054","0.3644108246","1.2756462457",NA,"1.1203792922",NA,"1.8506670549",NA,NA,"0.728337378",NA,NA,NA,"1.1164064651",NA,NA,NA,"1.0595440054","0.8982201225","1.3686705314",NA,"0.8897518071","0.761781248","1.0389867212","1.0232691887","1.1329554905","0.6354502327","0.6419394831",NA,"0.8865557886","1.0638859555","1.0531720022","1.0582444719",NA,"2.2326422477","0.8737302742","0.9096786863",NA,"0.6578369056","0.7227590805","0.7106042179","2.2429304055","1.0590084282"
"root_to_tip_distance","gene_tree_017","Drosophila_melanogaster","17","30","8.7916273469","0.4664050501","1.0648399177",NA,"0.438934888","0.2721334482","0.3718872086","0.6808624539",NA,NA,NA,NA,NA,NA,NA,"0.2709831966",NA,"0.5431923401",NA,"0.5583878793","0.3323522039",NA,"0.4426235115","0.4698534897","0.4874194741",NA,NA,NA,"0.1571828292","0.1394253682",NA,"0.2599646425",NA,NA,"0.2743340073","0.227434236","0.2434714065",NA,"0.2514515082","0.4888631799","0.5684929271",NA,"0.9305236522","0.4847119209","0.4242989014","0.4379089274",NA,NA,NA,NA,"0.4173163606","0.511238992","0.3519942643","0.3845606973","0.4991507349","0.1987960697",NA,NA,NA,"0.2545867429","0.3766676329","0.4565307983","0.3997216565",NA,NA,NA,"0.3448861912","0.7041266638","0.3616050977","0.573000717","0.2812989129","0.3741642498","0.434272933","0.4324172645","0.4042850918",NA
"root_to_tip_distance","gene_tree_018","Drosophila_melanogaster","18","32","16.6072642779",NA,"0.9789905741","0.5289892408","0.565255046","0.6338531889","1.1251971879",NA,NA,NA,NA,NA,NA,"1.2597734386",NA,NA,"1.1833118986","0.6569956369","1.2771539624","0.8186705587","0.8489226598",NA,"0.8709467866",NA,NA,NA,"1.1775889389","1.1936851556","1.153507605","0.7474716342",NA,"0.7197394129","1.0103788022","1.1524189875","0.6407479188","0.6349786195","0.6531024521","1.1725952772",NA,NA,"0.8531998235",NA,"0.7527274718","1.2319168062","0.9675129738","0.9903089402",NA,NA,"1.0927683598",NA,"1.289976524","1.0530381659",NA,"1.3439405333",NA,"0.4802716958",NA,"1.2049958439",NA,"1.0254316907","0.5283141324",NA,NA,"1.1504005613","1.156332699",NA,NA,"1.0053927872",NA,"1.0885387056","0.9724609674",NA,"0.8007802459",NA,"0.9955856776",NA
"root_to_tip_distance","gene_tree_019","Drosophila_melanogaster","19","33","22.0728139753","1.4482421405","3.4969278976","1.1036035367","1.3353031569","1.3360659187","1.4282936897","1.8164016365",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5318172375",NA,"1.4829006982","1.1081622279",NA,NA,"1.3912375066","1.2540081329",NA,NA,NA,"0.583953771","0.4666947048",NA,"1.1799955113",NA,NA,"0.4248731799","0.651650174","1.3091799058",NA,NA,"2.0348236526","1.1460592828","1.1561880428","1.1646105651",NA,"1.4369057387","1.1567077025",NA,NA,NA,NA,NA,"3.8200218995","3.3463303701","1.2395833234","1.426738043","1.237229774",NA,NA,NA,"1.5703615986","1.1602274344","1.1214091353","1.2582979904",NA,NA,NA,"1.0059355333","1.9435488418","3.8041438297","3.0762308461","1.0830769308","0.6840385501","1.3599732958","1.2916161225","1.9452963713",NA
"root_to_tip_distance","gene_tree_020","Drosophila_melanogaster","20","38","19.9538954311",NA,NA,"1.3939616052","1.1234872857","0.994692696","1.7032426186","1.7817570865",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.0378061463",NA,"1.9254966284","1.3871192957",NA,"1.0801995383","1.6125868114","1.5683992535",NA,NA,NA,"1.0656268012","0.5772195292",NA,"1.0362657331",NA,NA,"1.1560813372","1.1860431613",NA,NA,NA,"1.5488996045","1.2017230473","1.1517535387","1.1988117589","1.2936549187",NA,NA,NA,NA,NA,NA,NA,"1.8598127777",NA,"1.5878682643","1.0681147962","0.8370957742",NA,NA,NA,"1.625379516","0.6657521206","1.7177267219","1.1404998879",NA,NA,NA,"1.341011848","2.0288978387","1.1072600617","1.8234418575",NA,"0.9844386106","1.3568245203","1.2494794775","2.0445327702",NA
