"gene_tree","Choanoflagellata","Opisthokonta","Outgroup","ingroup_ intercept_estimate","ingroup_ intercept_std.error","ingroup_ intercept_t.value","ingroup_ intercept_Pr","ingroup_ x_estimate","ingroup_ x_std.error","ingroup_ x_t.value","ingroup_ x_Pr","ingroup_ residual_std_error","ingroup_ degrees_of_freedom","ingroup_ multiple_r_squared","ingroup_ adjusted_r_squared","ingroup_ f.statistic_value","ingroup_ f.statistic_p.value","outgroup_ intercept_estimate","outgroup_ intercept_std.error","outgroup_ intercept_t.value","outgroup_ intercept_Pr","outgroup_ x_estimate","outgroup_ x_std.error","outgroup_ x_t.value","outgroup_ x_Pr","outgroup_ residual_std_error","outgroup_ degrees_of_freedom","outgroup_ multiple_r_squared","outgroup_ adjusted_r_squared","outgroup_ f.statistic_value","outgroup_ f.statistic_p.value","branch_length_to_outgroup"
1,"Monophyletic","Zero_taxa","Monophyletic",-5.17459158604078,0.210733544941241,-24.5551394652599,5.30530024154646e-46,0.0359714714297065,0.00329573035345373,10.9145675076271,3.86482842113366e-19,1.09756975194746,108,0.524496747356324,0.520093939461475,119.127783878549,3.86482842113369e-19,-5.03858888175864,0.190794330769444,-26.4084832156113,4.65178386924624e-52,0.0315670301593814,0.00267043352760701,11.8209383731295,6.61588972415131e-22,1.05156098029356,121,0.535926542103432,0.532091224269577,139.734584021326,6.61588972415149e-22,0.1418456656
2,"Paraphyletic","Monophyletic","Monophyletic",-5.30650394992707,0.254391630081883,-20.8595854675683,2.23153990562372e-40,0.0364267752455229,0.00383982809610587,9.48656406844483,5.06348212597601e-16,1.34915462529436,112,0.445530549503316,0.440579929409595,89.9948978247085,5.06348212597601e-16,-4.92828231670485,0.187506303901453,-26.2832886903631,2.25832721261226e-59,0.0247343508146061,0.00203299432104917,12.1664633090767,2.06767932520131e-24,1.17661028255694,157,0.485284428439267,0.482005985308307,148.02282945111,2.06767932520131e-24,0.036137193
3,"Monophyletic","Monophyletic","Monophyletic",-4.73068947902644,0.0430784896103724,-109.815583643104,2.92797378324616e-87,0.0385677718025613,0.000924018455871598,41.7391790796878,4.08501781633236e-55,0.190849519663315,78,0.957146602582681,0.95659720005169,1742.15907024625,4.08501781633236e-55,-4.57337636105686,0.0262947965837726,-173.92704851268,5.65657114273944e-151,0.0263725099429946,0.00035650889132289,73.9743400091222,4.63583101173906e-105,0.147289524611652,125,0.97766741702035,0.977488756356512,5472.20297978522,4.63583101173893e-105,0.2051636122
5,"Monophyletic","Zero_taxa","Monophyletic",-5.19422070985761,0.266785647149086,-19.469640759778,2.17458063699158e-34,0.0462437844471898,0.00487691719342569,9.48217544261949,2.80502408266479e-15,1.28298613288211,92,0.494259991423108,0.488762817416838,89.9116511246163,2.80502408266471e-15,-5.04198957224358,0.246558288252618,-20.4494831951367,1.09467232523642e-37,0.040775659450018,0.00411617081535454,9.90621169022254,1.44418447150799e-16,1.24204729673249,101,0.492801370150003,0.487779601537626,98.1330300515017,1.44418447150797e-16,0.2143593619
6,"Monophyletic","Zero_taxa","Monophyletic",-6.3518260644803,0.348933531914457,-18.2035416018357,3.54053010901091e-30,0.0672381501227458,0.00730360560611247,9.20615840297749,3.45731689194729e-14,1.56543547778878,80,0.514425662565921,0.508355983347995,84.753352540713,3.45731689194724e-14,-5.70082085904281,0.257326384792202,-22.1540471399634,2.6400502155852e-43,0.0418474357371377,0.00378516668488459,11.0556388188262,8.4994847965403e-20,1.38279345445121,115,0.515232551800479,0.5110171826857,122.227149692337,8.49948479654048e-20,0.1646603336
7,"Monophyletic","Zero_taxa","Monophyletic",-5.48767160012293,0.279175817152413,-19.656686800802,2.30469854632101e-32,0.0608317837838065,0.00584349131497417,10.41017783802,1.54249523367805e-16,1.25247844858373,80,0.575307987248382,0.569999337088986,108.371802619203,1.54249523367796e-16,-5.00674886047512,0.206590787869118,-24.2351022139819,1.41545869850494e-46,0.0391605620113744,0.00309137430298283,12.6676869810262,2.00025528545214e-23,1.1005032006465,113,0.586792413264564,0.583135708957171,160.47029344926,2.00025528545208e-23,0.1671570973
8,"Monophyletic","Zero_taxa","Monophyletic",-4.45450382679559,0.240118947264222,-18.5512383656003,1.51103528359191e-29,0.0467468728646226,0.00541889801849041,8.62663823993597,8.44738137495322e-13,1.03634210977856,74,0.501411165823575,0.494673478875244,74.4188873227256,8.44738137495313e-13,-4.17340569319341,0.18436514797476,-22.6366302906922,6.32106368346441e-41,0.0332307515540893,0.00313838591957183,10.5884847834848,5.71317826454614e-18,0.919552430026321,99,0.531063513395935,0.526326781208015,112.116010010089,5.71317826454631e-18,0.1769500866
9,"Monophyletic","Monophyletic","Monophyletic",-4.78313258096298,0.174606649111481,-27.3937596609457,7.92516293739799e-49,0.0340345677101286,0.00288714509710548,11.7883121787853,9.3779255118272e-21,0.883909738867272,102,0.576700788056846,0.572550795782894,138.964304024497,9.37792551182727e-21,-4.50977094780254,0.125853908207487,-35.8333802424919,1.57893016749603e-74,0.023250924956162,0.00145566388725396,15.9727291167632,6.1904639272193e-34,0.764258198686437,147,0.634444822485791,0.631958052570729,255.128075437494,6.19046392721965e-34,0.1113970005
10,"Monophyletic","Zero_taxa","Monophyletic",-4.78879258477243,0.209418349207152,-22.8671107517683,8.60473609132252e-45,0.0323891711808775,0.00305451810261417,10.6036926588052,8.89098297874702e-19,1.13021091069505,116,0.492204236266978,0.487826686579624,112.438298002399,8.89098297874747e-19,-4.59183575833128,0.158760800673088,-28.9229818624217,2.39428369504248e-64,0.0237287945697807,0.00174315130479592,13.612584578571,2.93051401637088e-28,0.989885884002749,155,0.544522832726393,0.541584270356886,185.302458908749,2.93051401637054e-28,0.0377827837
11,"Paraphyletic","Monophyletic","Monophyletic",-4.78675188065649,0.0202864484406916,-235.958102506251,2.02539026116569e-157,0.0260338654505915,0.0002958925243869,87.9841946143606,4.84084208878564e-108,0.109484032577501,116,0.98523650577219,0.985109234270226,7741.21850193769,4.8408420887855e-108,-4.69450644877916,0.0174700076496361,-268.718053416362,6.60234848655089e-220,0.0187784409294337,0.000180381367874168,104.104105378186,2.06362997036609e-152,0.11237455200907,165,0.985003632878923,0.984912745805462,10837.6647565924,2.06362997036597e-152,0.0169533212
