"dataset","matrix_name","dataset_id","model","id","topology","KEY_node","KEY_q1","KEY_f1","KEY_pp1","KEY_QC","KEY_EN","KEY_branch_length","CTEN_q1","CTEN_f1","CTEN_pp1","CTEN_QC","CTEN_EN","CTEN_branch_length","CTEN_monophyly","PORI_q1","PORI_f1","PORI_pp1","PORI_QC","PORI_EN","PORI_branch_length","PORI_monophyly","Plac_present"
"Moroz2014","ED3d","Moroz2014.ED3d","C60","Moroz2014.ED3d.C60.CTEN_PORI","CTEN_PORI",55,0.193347370786395,7.9272422022422,0.04881656078283,6831,41,0,"NaN","0.0","0.33333333333333337","240","0.0","2.85263142991332","Monophyletic","0.5571164021164021","11.699444444444444","0.9411753735661392","240","21.0","0.126809582526653","Monophyletic","Plac"
"Nosenko2013","nonribosomal_9187_smatrix","Nosenko2013.nonribosomal_9187_smatrix","C60","Nosenko2013.nonribosomal_9187_smatrix.C60.CTEN","CTEN",80,0.458545409753512,16.0490893413729,0.837829215211014,30240,35,0.184779041004893,"0.18033434342345353","2.1640121210814423","0.057569470999083786","68","12.0","1.14529203579091","Monophyletic","0.9979166666666667","14.96875","0.9999998944748032","68","15.0","0.079100172592407","Monophyletic","Plac"
"Nosenko2013","nonribosomal_9187_smatrix","Nosenko2013.nonribosomal_9187_smatrix","C60","Nosenko2013.nonribosomal_9187_smatrix.C60.PORI","PORI",80,0.273457973331816,9.57102906661357,0.0826833061027975,30240,35,0,"0.02","0.04","0.14759825684774452","68","2.0","1.17347933093557","Monophyletic","0.25","2.0","0.1759164003869187","68","8.0","0.0947467978445871","Monophyletic","Plac"
"Nosenko2013","nonribosomal_9187_smatrix","Nosenko2013.nonribosomal_9187_smatrix","C60","Nosenko2013.nonribosomal_9187_smatrix.C60.CTEN_PORI","CTEN_PORI",88,0.267996616914671,9.3798815920135,0.0794874786861881,30240,35,0,"0.18033434342345353","2.1640121210814423","0.057569470999083786","68","12.0","1.18966195854177","Monophyletic","0.02","0.04","0.14759825684774452","68","2.0","0.111513048462839","Monophyletic","Plac"
"Nosenko2013","ribosomal_14615_smatrix","Nosenko2013.ribosomal_14615_smatrix","C60","Nosenko2013.ribosomal_14615_smatrix.C60.CTEN","CTEN",80,0.396507596751244,34.099653320607,0.715255523077837,31280,86,0.0920331182179497,"0.3612650833594753","31.430062252274354","0.4855808814354306","756","87.0","3.23837047231986","Monophyletic","0.5","2.0","0.5316648631499248","390","4.0","0.0417961240049886","Monophyletic","Plac"
"Nosenko2013","ribosomal_14615_smatrix","Nosenko2013.ribosomal_14615_smatrix","C60","Nosenko2013.ribosomal_14615_smatrix.C60.PORI","PORI",80,0.337338491284996,29.0111102505097,0.201037647006683,31280,86,0.000191574392472752,"0.9794665820501687","46.03492935635793","1.0","260","47.0","3.14098213062184","Monophyletic","0.9854550848117024","67.01094576719576","1.0","3366","68.0","0.0530489838200914","Monophyletic","Plac"
"Nosenko2013","ribosomal_14615_smatrix","Nosenko2013.ribosomal_14615_smatrix","C60","Nosenko2013.ribosomal_14615_smatrix.C60.CTEN_PORI","CTEN_PORI",88,0.266153911963759,22.8892364288833,0.0837068299154798,31280,86,0,"0.3612650833594753","31.430062252274354","0.4855808814354306","756","87.0","3.09355688714365","Monophyletic","0.9794665820501687","46.03492935635793","1.0","260","47.0","0.0849827342174197","Monophyletic","Plac"
"Philippe2009","Philippe_etal_superalignment_FixedNames","Philippe2009.Philippe_etal_superalignment_FixedNames","C60","Philippe2009.Philippe_etal_superalignment_FixedNames.C60.CTEN","CTEN",63,0.390159525323698,49.5502597161096,0.762795959037922,9504,127,0.0841069872320231,"0.38379206243697644","49.125383991932985","0.7215176607874005","6930","128.0","3.04345255852264","Monophyletic","0.709004600489721","90.75258886268429","1.0","294","128.0","0.0981667033352396","Monophyletic","Plac"
"Philippe2009","Philippe_etal_superalignment_FixedNames","Philippe2009.Philippe_etal_superalignment_FixedNames","C60","Philippe2009.Philippe_etal_superalignment_FixedNames.C60.PORI","PORI",63,0.330763532410416,42.0069686161228,0.161209651382278,9504,127,0,"0.709004600489721","90.75258886268429","1.0","294","128.0","3.06526581007446","Monophyletic","0.5758136397710429","73.7041458906935","0.999999964440991","3444","128.0","0.0981589852422877","Monophyletic","Plac"
"Philippe2009","Philippe_etal_superalignment_FixedNames","Philippe2009.Philippe_etal_superalignment_FixedNames","C60","Philippe2009.Philippe_etal_superalignment_FixedNames.C60.CTEN_PORI","CTEN_PORI",72,0.279076942265887,35.4427716677676,0.0759943895797956,9504,127,0,"0.38379206243697644","49.125383991932985","0.7215176607874005","6930","128.0","3.03400786436636","Monophyletic","0.709004600489721","90.75258886268429","1.0","294","128.0","0.147346147414569","Monophyletic","Plac"
