"Borowiec2015.Best108"	"Chang2015.Chang_AA"	"Dunn2008.Dunn2008_FixedNames"	"Hejnol2009.Hejnol_etal_2009_FixedNames"	"Laumer2018.Tplx_phylo_d1"	"Laumer2019.nonbilateria_MARE_BMGE"	"Moroz2014.ED3d"	"Nosenko2013.nonribosomal_9187_smatrix"	"Nosenko2013.ribosomal_14615_smatrix"	"Philippe2009.Philippe_etal_superalignment_FixedNames"	"Philippe2011.UPDUNN_MB_FixedNames"	"Pick2010.Pick2010"	"Ryan2013.REA_EST_includingXenoturbella"	"Simion2017.supermatrix_97sp_401632pos_1719genes"	"Whelan2015.Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned"	"Whelan2017.Metazoa_Choano_RCFV_strict"
"Daphnia"	"Capitella_teleta"	"Carcinoscorpius_rotundicauda"	"Bugula_neritina"	"CNID_Lcmp"	"CTEN_Baby"	"CINT"	"Beroe_sp__"	"Beroe_sp__"	"Crassostrea_gigas"	"Capitella_sp__i_ecs-2004"	"Capitella_"	"Ciona_intestinalis"	"Mylnosiga_fluctuans_19"	"Capitella_teleta"	"Bolinopsis_ashleyi"
"Drosophila"	"Capsaspora_owczarzaki_atcc30864"	"Carcinus_maenas"	"Capitella_sp"	"CNID_Ltet"	"CTEN_Edun"	"COEL"	"Branchi_fl"	"Branchi_fl"	"CyaneaXcapillata"	"Capsaspora_owczarzaki"	"Capsaspora"	"Clytia_hemisphaerica"	"Salpingoeca_helianthica_18"	"Capsaspora_owczarzaki"	"Bolinopsis_infundibulum"
"Fugu"	"Chondrilla_nucula"	"Carinoma_mutabilis"	"Capsaspora_owczarzaki"	"CNID_Nvec"	"CTEN_Mlei"	"CTEL"	"Capitel_sp"	"Capitel_sp"	"Danio_rerio"	"Carcinoscorpius_rotundicauda"	"Carcinosco"	"Convolutriloba_longifissura"	"Salpingoeca_macrocollata_06"	"Chondrilla_nucula"	"Bolocera_tuediae"
"Gallus"	"Ciona_intestinalis"	"Cerebratulus_lacteus"	"Carcinoscorpius_rotundicauda"	"CNID_Pnct"	"CTEN_Pbac"	"DGLA"	"Capsasp_ow"	"Capsasp_ow"	"DaphniaXpulex"	"Carcinus_maenas"	"Carinoma_m"	"Crassostrea_virginica"	"Salpingoeca_punica_03"	"Coeloplana_astericola"	"Callianira_Antarctica"
"Gasterosteus"	"Clytia_hemisphaerica"	"Chaetoderma_nitidulum"	"Carcinus_maenas"	"CNID_Smel"	"CTEN_Vmul"	"DMEL"	"Carteri_fo"	"Carteri_fo"	"Ephydatia_muelleri"	"Carinoma_mutabilis"	"Carteriosp"	"Cyanea_capillata"	"Salpingoeca_qvevrii_09"	"Corticium_candelabrum"	"Capitella_teleta"
"Homo"	"Corticium_candelabrum"	"Chaetopleura_apiculata"	"Carinoma_mutabilis"	"CRAN_Mmus"	"ECHI_Spur"	"DPUL"	"Ciona_inte"	"Ciona_inte"	"Euperipatoides_kanangrensis"	"Cerebratulus_lacteus"	"Cerebratul"	"Daphnia_pulex"	"Salpingoeca_urceolata_04"	"Craseoa_lathetica"	"Cestum_veneris"
"Hydra"	"Craspedacusta_sowerbyi"	"Chaetopterus_variopedatus"	"Cerebratulus_lacteus"	"CTEN_Baby"	"MOLL_Lott"	"EDUN"	"Clytia_hem"	"Clytia_hem"	"Euprymna_scolopes"	"Chaetoderma_nitidulum"	"Chaetoderm"	"Drosophila_melanogaster"	"Codosiga_hollandica_17"	"Crella_elegans"	"Chondrilla_nucula"
"Ixodes"	"Crassostrea_gigas"	"Ciona_intestinalis"	"Chaetoderma_nitidulum"	"CTEN_Cmet"	"ONYC_Peri"	"EMUE"	"Corticium_"	"Corticium_"	"Helobdella_robusta"	"Chaetopleura_apiculata"	"Chaetopleu"	"Echinoderes_horni"	"Aiptasia_pallida"	"Danio_rerio"	"Cliona_varians"
"Latimeria"	"Cyanea_capillata"	"Crassostrea_virginica"	"Chaetopleura_apiculata"	"CTEN_Edun"	"OUTC_Mbre"	"GVEN"	"Crassos_gi"	"Crassos_gi"	"Heterochone_sp"	"Chaetopterus_sp"	"Chaetopter"	"Ephydatia_muelleri"	"Bolocera_tuedia"	"Daphnia_pulex"	"Coeloplana_astericola"
"Lottia"	"Daphnia_pulex"	"Cryptococcus_neoformans"	"Chaetopterus_sp"	"CTEN_Mlei"	"OUTC_Sros"	"HCAL"	"Cratero_me"	"Cratero_me"	"Hydractinia_echinata"	"Ciona_intestinalis"	"Ciona_inte"	"Euperipatoides_kanangrensis"	"Edwardsiella_lineata"	"Drosophila_melanogaster"	"Corticium_candelabrum"
